date_hzcode,hzone_code,cases,deaths,shifted_cases,cum_cases,cases_neighbors_avg,weights,dow
2020-03-01-170101,170101,0,0,0,0,0.0,2.2074178e-07,6
2020-03-02-170101,170101,0,0,2,0,0.0,4.617517e-07,0
2020-03-03-170101,170101,0,0,1,0,0.0,0.0014496956,1
2020-03-04-170101,170101,0,1,3,0,0.0,9.260696e-07,2
2020-03-05-170101,170101,0,0,3,0,0.0,0.0011639531,3
2020-03-06-170101,170101,0,0,9,0,0.0,6.8092972e-06,4
2020-03-07-170101,170101,0,0,1,0,0.0,0.00024572204,5
2020-03-08-170101,170101,0,0,2,0,0.0,1.0289756e-08,6
2020-03-09-170101,170101,0,0,10,0,0.0,7.579266e-05,0
2020-03-10-170101,170101,0,0,4,0,0.0,2.0425668e-05,1
2020-03-11-170101,170101,0,0,5,0,0.0,0.0024678835,2
2020-03-12-170101,170101,0,0,4,0,0.5,0.021344615,3
2020-03-13-170101,170101,1,0,3,1,0.25,0.027772045,4
2020-03-14-170101,170101,0,0,2,1,0.25,7.2630195e-07,5
2020-03-15-170101,170101,0,0,5,1,0.25,0.006238415,6
2020-03-16-170101,170101,2,0,6,3,0.75,0.022681398,0
2020-03-17-170101,170101,1,0,5,4,0.0,0.009765668,1
2020-03-18-170101,170101,3,0,10,7,2.75,0.053510334,2
2020-03-19-170101,170101,3,1,15,10,1.75,0.079168096,3
2020-03-20-170101,170101,9,0,6,19,0.25,0.030024964,4
2020-03-21-170101,170101,1,0,2,20,0.75,0.0116214305,5
2020-03-22-170101,170101,2,0,2,22,0.75,0.013906216,6
2020-03-23-170101,170101,10,0,5,32,2.5,0.05522304,0
2020-03-24-170101,170101,4,0,3,36,0.75,0.022431467,1
2020-03-25-170101,170101,5,0,1,41,5.5,0.055441994,2
2020-03-26-170101,170101,4,0,3,45,3.5,0.039918475,3
2020-03-27-170101,170101,3,0,26,48,3.25,0.022344347,4
2020-03-28-170101,170101,2,0,5,50,0.75,0.0037591541,5
2020-03-29-170101,170101,5,0,0,55,1.0,0.020733396,6
2020-03-30-170101,170101,6,0,6,61,3.0,0.054491255,0
2020-03-31-170101,170101,5,0,6,66,3.25,0.04942588,1
2020-04-01-170101,170101,10,0,6,76,4.25,0.06528655,2
2020-04-02-170101,170101,15,0,6,91,2.25,0.06851976,3
2020-04-03-170101,170101,6,0,1,97,2.75,0.04677598,4
2020-04-04-170101,170101,2,0,2,99,0.5,0.0057553905,5
2020-04-05-170101,170101,2,0,0,101,0.75,0.011098814,6
2020-04-06-170101,170101,5,0,5,106,2.75,0.06902112,0
2020-04-07-170101,170101,3,0,1,109,1.75,0.049517196,1
2020-04-08-170101,170101,1,0,2,110,2.0,0.03723561,2
2020-04-09-170101,170101,3,0,0,113,1.75,0.03725372,3
2020-04-10-170101,170101,26,0,1,139,7.25,0.1364462,4
2020-04-11-170101,170101,5,1,0,144,0.75,0.017620264,5
2020-04-12-170101,170101,0,0,0,144,0.25,0.009827303,6
2020-04-13-170101,170101,6,0,1,150,1.0,0.022978032,0
2020-04-14-170101,170101,6,0,2,156,0.25,0.03504386,1
2020-04-15-170101,170101,6,0,1,162,1.25,0.030548703,2
2020-04-16-170101,170101,6,0,1,168,0.5,0.029532522,3
2020-04-17-170101,170101,1,0,1,169,0.25,0.031132068,4
2020-04-18-170101,170101,2,0,0,171,0.0,0.0065230764,5
2020-04-19-170101,170101,0,0,0,171,0.0,0.009389073,6
2020-04-20-170101,170101,5,0,0,176,0.5,0.032051854,0
2020-04-21-170101,170101,1,0,1,177,0.5,0.018490825,1
2020-04-22-170101,170101,2,0,4,179,0.25,0.02506196,2
2020-04-23-170101,170101,0,0,0,179,0.0,0.001031157,3
2020-04-24-170101,170101,1,0,4,180,0.75,0.026180575,4
2020-04-25-170101,170101,0,0,2,180,0.75,0.014467847,5
2020-04-26-170101,170101,0,0,0,180,0.25,0.0030959588,6
2020-04-27-170101,170101,1,0,2,181,0.25,0.017218057,0
2020-04-28-170101,170101,2,0,1,183,0.5,0.020527085,1
2020-04-29-170101,170101,1,2,0,184,1.25,0.0329802,2
2020-04-30-170101,170101,1,0,3,185,0.25,0.005168506,3
