date_hzcode,hzone_code,cases,deaths,shifted_cases,cum_cases,cases_neighbors_avg,weights,dow
2020-03-01-170101,170101,0,0,0,0,0.0,0.0,6
2020-03-02-170101,170101,0,0,2,0,0.0,1.8943877059634353,0
2020-03-03-170101,170101,0,0,1,0,0.0,8.454594489446688,1
2020-03-04-170101,170101,0,1,3,0,0.0,10.889462077985666,2
2020-03-05-170101,170101,0,0,3,0,0.0,11.930604369734189,3
2020-03-06-170101,170101,0,0,9,0,0.0,12.278807634295724,4
2020-03-07-170101,170101,0,0,1,0,0.0,14.242320219162554,5
2020-03-08-170101,170101,0,0,2,0,0.0,13.094046581429133,6
2020-03-09-170101,170101,0,0,10,0,0.0,13.072063833482876,0
2020-03-10-170101,170101,0,0,4,0,0.0,29.968388398426505,1
2020-03-11-170101,170101,0,0,5,0,0.0,23.505780562669603,2
2020-03-12-170101,170101,0,0,4,0,0.5,17.484118269188507,3
2020-03-13-170101,170101,1,0,3,1,0.25,13.401430998622299,4
2020-03-14-170101,170101,0,0,2,1,0.25,10.006223964304265,5
2020-03-15-170101,170101,0,0,5,1,0.25,6.5273703062779695,6
2020-03-16-170101,170101,2,0,6,3,0.75,3.2900396408384593,0
2020-03-17-170101,170101,1,0,5,4,0.0,5.463287436884332,1
2020-03-18-170101,170101,3,0,10,7,2.75,5.873094002515485,2
2020-03-19-170101,170101,3,1,15,10,1.75,8.325295176433286,3
2020-03-20-170101,170101,9,0,6,19,0.25,9.565624841055874,4
2020-03-21-170101,170101,1,0,2,20,0.75,10.77830942033457,5
2020-03-22-170101,170101,2,0,2,22,0.75,10.973800391420681,6
2020-03-23-170101,170101,10,0,5,32,2.5,10.674824244131024,0
2020-03-24-170101,170101,4,0,3,36,0.75,13.748312134900388,1
2020-03-25-170101,170101,5,0,1,41,5.5,12.648073139510766,2
2020-03-26-170101,170101,4,0,3,45,3.5,12.351108484080711,3
2020-03-27-170101,170101,3,0,26,48,3.25,14.920222462999222,4
2020-03-28-170101,170101,2,0,5,50,0.75,14.976250614465918,5
2020-03-29-170101,170101,5,0,0,55,1.0,13.941986276976639,6
2020-03-30-170101,170101,6,0,6,61,3.0,11.43349213096443,0
2020-03-31-170101,170101,5,0,6,66,3.25,13.229409073827433,1
2020-04-01-170101,170101,10,0,6,76,4.25,2.832135529440252,2
2020-04-02-170101,170101,15,0,6,91,2.25,6.654457431987462,3
2020-04-03-170101,170101,6,0,1,97,2.75,4.898605867300501,4
2020-04-04-170101,170101,2,0,2,99,0.5,6.156354156891092,5
2020-04-05-170101,170101,2,0,0,101,0.75,5.506652022890872,6
2020-04-06-170101,170101,5,0,5,106,2.75,6.177459741672415,0
2020-04-07-170101,170101,3,0,1,109,1.75,8.892645292876097,1
2020-04-08-170101,170101,1,0,2,110,2.0,10.909533269451014,2
2020-04-09-170101,170101,3,0,0,113,1.75,12.722705552878388,3
2020-04-10-170101,170101,26,0,1,139,7.25,3.622483506860508,4
2020-04-11-170101,170101,5,1,0,144,0.75,16.023229233188815,5
2020-04-12-170101,170101,0,0,0,144,0.25,17.70271244072268,6
2020-04-13-170101,170101,6,0,1,150,1.0,18.088424321123803,0
2020-04-14-170101,170101,6,0,2,156,0.25,19.25911944369615,1
2020-04-15-170101,170101,6,0,1,162,1.25,19.986591920577606,2
2020-04-16-170101,170101,6,0,1,168,0.5,22.715850044566487,3
2020-04-17-170101,170101,1,0,1,169,0.25,21.71665897187103,4
2020-04-18-170101,170101,2,0,0,171,0.0,9.505242840608002,5
2020-04-19-170101,170101,0,0,0,171,0.0,8.036364240472274,6
2020-04-20-170101,170101,5,0,0,176,0.5,11.256996031093031,0
2020-04-21-170101,170101,1,0,1,177,0.5,11.331068380960295,1
2020-04-22-170101,170101,2,0,4,179,0.25,10.106336021693174,2
