hzone_code,d_zbs
170327,VALENCIA DE D. JUAN
170502,BALTANAS
170409,VILLABLINO
171011,RONDILLA I
170221,MIRANDA ESTE
170103,AVILA ESTACION
171109,MOMBUEY
170235,VILLARCAYO
170119,SOTILLO DE ADRADA
170814,SORIA SUR
170318,MANSILLA MULAS
170601,ALBA DE TORMES
170608,FUENTE DE SAN ESTEBAN
170309,BAÑEZA II
170903,CASA DEL BARCO
170902,ARTURO EYRIES
170705,NAVAFRIA
170311,LA MAGDALENA
170505,FROMISTA
170510,OSORNO
170513,PINTOR OLIVA
170516,TORQUEMADA
170628,SANTA MARTA DE TORMES
170202,ARANDA RURAL
170634,VITIGUDINO
170801,AGREDA
170208,BURGOS RURAL NORTE
170703,CUELLAR
170117,PIEDRAHITA
170109,BURGOHONDO
170121,MUÑICO
170210,CONDADO DE TREVIÑO
170223,PAMPLIEGA
170410,VILLAFRANCA BIERZO
171122,ZAMORA SUR
170512,PAREDES DE NAVA
170602,ALDEADAVILA RIBERA
170517,VENTA DE BAÑOS
170101,ARENAS SAN PEDRO
171113,LA GUAREÑA
171119,VILLALPANDO
170305,BOÑAR
170237,LAS HUELGAS
170506,GUARDO
171021,MEDINA CAMPO RURAL
170218,LOS CUBOS
170303,ASTORGA II
170301,ARMUNIA
170304,SAN EMILIANO
170325,STA. MARIA PARAMO
170630,TAMAMES
170626,ROBLEDA
170520,VILLAMURIEL DE CERRATO
170706,NAVA DE LA ASUNCION
170809,PINARES-COVALEDA
170622,PERIURBANA NORTE
170623,PERIURBANO SUR
170712,SEPULVEDA
170102,AREVALO
170701,CANTALEJO
170803,ARCOS DE JALON
170812,S.PEDRO MANRIQUE
170209,BURGOS RURAL SUR
170811,SORIA RURAL
170229,SEDANO
171012,RONDILLA II
170226,SALAS LOS INFANTES
170635,UNIVERSIDAD CENTRO
170315,CRUCERO
170204,BELORADO
170302,ASTORGA I
171121,ZAMORA NORTE
170105,AVILA RURAL
170920,TORDESILLAS
171016,PORTILLO
170317,JOSE AGUADO II
170113,NAVARREDONDA GREDOS
170230,VALLE DE LOSA
170211,ESPINOSA MONTEROS
171018,TUDELA
170805,EL BURGO DE OSMA
171105,BENAVENTE SUR
171116,TABARA
170216,LERMA
170810,SAN LEONARDO YAGÜE
171025,VALLADOLID RURAL I
171022,MEDINA CAMPO URBANO
170924,VILLAFRECHOS
170107,AVILA SUR OESTE
171115,BERMILLO DE SAYAGO
170708,SEGOVIA I
170231,VALLE TOBALINA
170711,SEGOVIA RURAL
171117,TORO
170503,CARRION DE LOS CONDES
170203,ARANDA SUR
171020,OLMEDO
170232,VALLE VALDEBEZANA
170910,MAYORGA DE CAMPOS
170919,PARQUE ALAMEDA-COVARESA
170501,AGUILAR DE CAMPOO
170326,VALDERAS
170306,CISTIERNA
170323,SAHAGUN CAMPOS
170507,HERRERA DE PISUERGA
170504,CERVERA PISUERGA
170514,SALDAÑA
170511,PALENCIA RURAL
170604,CALZADA VALDUNCIEL
170609,FUENTEGUINALDO
170610,FUENTES DE OÑORO
171013,CANTERAC
170310,TRUCHAS
171101,PARADA DEL MOLINO
170201,ARANDA NORTE
170322,RIBERA DEL ORBIGO
170402,CACABELOS
170509,DE LA PUEBLA
170401,BEMBIBRE
170613,GUIJUELO
170618,LUMBRALES
170407,PUENTE DOMINGO FLOREZ
170320,RIAÑO
170321,RIBERA DEL ESLA
170307,CUENCA BERNESGA
170702,CARBONERO EL MAYOR
170403,FABERO
170519,VILLADA
170408,TORENO
170605,CANTALAPIEDRA
170328,TROBAJO DEL CAMINO
170324,SAN ANDRES RABANEDO
170518,VILLARRAMIEL
170615,LA ALBERCA
170616,LEDESMA
170621,PEDROSILLO EL RALO
170624,PEÑARANDA
170617,LINARES DE RIOFRIO
170620,MIRANDA DEL CASTAÑAR
170633,VILLORIA
170619,MATILLA CAÑOS
170714,EL ESPINAR
170808,OLVEGA
170707,RIAZA
170806,SAN ESTEBAN GORMAZ
170802,ALMAZAN
170404,PONFERRADA I
171007,MAGDALENA
170631,ELENA GINEL DIEZ
170205,BRIVIESCA
170716,SACRAMENIA
171019,ALAEJOS
170715,SAN ILDEFONSO
170704,FUENTESAUCO
171108,CARBAJALES DE ALBA
170913,MEDINA DE RIOSECO
170914,MOTA DEL MARQUES
170108,BARCO DE AVILA
170411,PONFERRADA IV
171003,CIRCUNVALACION
170314,CONDESA
170316,JOSE AGUADO I
170215,HUERTA DE REY
170220,MELGAR FERNAMENTAL
170312,ERAS DE RENUEVA
170308,LA BAÑEZA I
170508,JARDINILLOS
170114,LAS NAVAS MARQUES
171015,PEÑAFIEL
170224,QUINTANAR SIERRA
170625,PIZARRALES-VIDAL
170110,CANDELEDA
